Episode 1	length: 16	reward: 16.0	 ewma reward: 0.8
Episode 2	length: 28	reward: 28.0	 ewma reward: 2.16
Episode 3	length: 43	reward: 43.0	 ewma reward: 4.202
Episode 4	length: 34	reward: 34.0	 ewma reward: 5.6919
Episode 5	length: 22	reward: 22.0	 ewma reward: 6.507305000000001
Episode 6	length: 59	reward: 59.0	 ewma reward: 9.13193975
Episode 7	length: 59	reward: 59.0	 ewma reward: 11.6253427625
Episode 8	length: 46	reward: 46.0	 ewma reward: 13.344075624375002
Episode 9	length: 21	reward: 21.0	 ewma reward: 13.726871843156252
Episode 10	length: 74	reward: 74.0	 ewma reward: 16.740528250998437
Episode 11	length: 56	reward: 56.0	 ewma reward: 18.703501838448513
Episode 12	length: 93	reward: 93.0	 ewma reward: 22.418326746526084
Episode 13	length: 64	reward: 64.0	 ewma reward: 24.497410409199777
Episode 14	length: 54	reward: 54.0	 ewma reward: 25.972539888739785
Episode 15	length: 45	reward: 45.0	 ewma reward: 26.923912894302795
Episode 16	length: 50	reward: 50.0	 ewma reward: 28.077717249587653
Episode 17	length: 31	reward: 31.0	 ewma reward: 28.22383138710827
Episode 18	length: 72	reward: 72.0	 ewma reward: 30.412639817752858
Episode 19	length: 59	reward: 59.0	 ewma reward: 31.842007826865213
Episode 20	length: 94	reward: 94.0	 ewma reward: 34.94990743552195
Episode 21	length: 53	reward: 53.0	 ewma reward: 35.85241206374585
Episode 22	length: 98	reward: 98.0	 ewma reward: 38.959791460558556
Episode 23	length: 47	reward: 47.0	 ewma reward: 39.361801887530625
Episode 24	length: 85	reward: 85.0	 ewma reward: 41.64371179315409
Episode 25	length: 86	reward: 86.0	 ewma reward: 43.86152620349638
Episode 26	length: 133	reward: 133.0	 ewma reward: 48.31844989332156
Episode 27	length: 59	reward: 59.0	 ewma reward: 48.85252739865548
Episode 28	length: 113	reward: 113.0	 ewma reward: 52.059901028722706
Episode 29	length: 200	reward: 200.0	 ewma reward: 59.45690597728657
Episode 30	length: 70	reward: 70.0	 ewma reward: 59.98406067842224
Episode 31	length: 185	reward: 185.0	 ewma reward: 66.23485764450112
Episode 32	length: 200	reward: 200.0	 ewma reward: 72.92311476227606
Episode 33	length: 162	reward: 162.0	 ewma reward: 77.37695902416225
Episode 34	length: 187	reward: 187.0	 ewma reward: 82.85811107295413
Episode 35	length: 200	reward: 200.0	 ewma reward: 88.71520551930642
Episode 36	length: 200	reward: 200.0	 ewma reward: 94.2794452433411
Episode 37	length: 200	reward: 200.0	 ewma reward: 99.56547298117404
Episode 38	length: 200	reward: 200.0	 ewma reward: 104.58719933211533
Episode 39	length: 200	reward: 200.0	 ewma reward: 109.35783936550956
Episode 40	length: 200	reward: 200.0	 ewma reward: 113.88994739723408
Episode 41	length: 200	reward: 200.0	 ewma reward: 118.19545002737237
Episode 42	length: 200	reward: 200.0	 ewma reward: 122.28567752600375
Episode 43	length: 200	reward: 200.0	 ewma reward: 126.17139364970356
Episode 44	length: 200	reward: 200.0	 ewma reward: 129.8628239672184
Episode 45	length: 200	reward: 200.0	 ewma reward: 133.36968276885744
Episode 46	length: 200	reward: 200.0	 ewma reward: 136.70119863041458
Episode 47	length: 196	reward: 196.0	 ewma reward: 139.66613869889386
Episode 48	length: 97	reward: 97.0	 ewma reward: 137.53283176394916
Episode 49	length: 182	reward: 182.0	 ewma reward: 139.7561901757517
Episode 50	length: 200	reward: 200.0	 ewma reward: 142.7683806669641
Episode 51	length: 200	reward: 200.0	 ewma reward: 145.6299616336159
Episode 52	length: 200	reward: 200.0	 ewma reward: 148.34846355193508
Episode 53	length: 200	reward: 200.0	 ewma reward: 150.93104037433832
Episode 54	length: 200	reward: 200.0	 ewma reward: 153.38448835562141
Episode 55	length: 200	reward: 200.0	 ewma reward: 155.71526393784035
Episode 56	length: 200	reward: 200.0	 ewma reward: 157.92950074094833
Episode 57	length: 200	reward: 200.0	 ewma reward: 160.0330257039009
Episode 58	length: 119	reward: 119.0	 ewma reward: 157.98137441870583
Episode 59	length: 200	reward: 200.0	 ewma reward: 160.08230569777052
Episode 60	length: 200	reward: 200.0	 ewma reward: 162.07819041288198
Episode 61	length: 200	reward: 200.0	 ewma reward: 163.97428089223789
Episode 62	length: 131	reward: 131.0	 ewma reward: 162.325566847626
Episode 63	length: 121	reward: 121.0	 ewma reward: 160.25928850524468
Episode 64	length: 200	reward: 200.0	 ewma reward: 162.24632407998243
Episode 65	length: 190	reward: 190.0	 ewma reward: 163.6340078759833
Episode 66	length: 200	reward: 200.0	 ewma reward: 165.45230748218412
Episode 67	length: 200	reward: 200.0	 ewma reward: 167.1796921080749
Episode 68	length: 200	reward: 200.0	 ewma reward: 168.82070750267115
Episode 69	length: 200	reward: 200.0	 ewma reward: 170.3796721275376
Episode 70	length: 200	reward: 200.0	 ewma reward: 171.8606885211607
Episode 71	length: 105	reward: 105.0	 ewma reward: 168.51765409510267
Episode 72	length: 200	reward: 200.0	 ewma reward: 170.09177139034753
Episode 73	length: 178	reward: 178.0	 ewma reward: 170.48718282083016
Episode 74	length: 116	reward: 116.0	 ewma reward: 167.76282367978865
Episode 75	length: 131	reward: 131.0	 ewma reward: 165.92468249579923
Episode 76	length: 126	reward: 126.0	 ewma reward: 163.92844837100927
Episode 77	length: 116	reward: 116.0	 ewma reward: 161.5320259524588
Episode 78	length: 129	reward: 129.0	 ewma reward: 159.90542465483585
Episode 79	length: 67	reward: 67.0	 ewma reward: 155.26015342209405
Episode 80	length: 141	reward: 141.0	 ewma reward: 154.54714575098936
Episode 81	length: 157	reward: 157.0	 ewma reward: 154.6697884634399
Episode 82	length: 200	reward: 200.0	 ewma reward: 156.9362990402679
Episode 83	length: 162	reward: 162.0	 ewma reward: 157.1894840882545
Episode 84	length: 200	reward: 200.0	 ewma reward: 159.33000988384177
Episode 85	length: 200	reward: 200.0	 ewma reward: 161.36350938964966
Episode 86	length: 200	reward: 200.0	 ewma reward: 163.29533392016717
Episode 87	length: 200	reward: 200.0	 ewma reward: 165.1305672241588
Episode 88	length: 200	reward: 200.0	 ewma reward: 166.87403886295084
Episode 89	length: 200	reward: 200.0	 ewma reward: 168.5303369198033
Episode 90	length: 200	reward: 200.0	 ewma reward: 170.10382007381313
Episode 91	length: 180	reward: 180.0	 ewma reward: 170.59862907012246
Episode 92	length: 200	reward: 200.0	 ewma reward: 172.06869761661633
Episode 93	length: 200	reward: 200.0	 ewma reward: 173.4652627357855
Episode 94	length: 200	reward: 200.0	 ewma reward: 174.79199959899623
Episode 95	length: 200	reward: 200.0	 ewma reward: 176.0523996190464
Episode 96	length: 200	reward: 200.0	 ewma reward: 177.24977963809408
Episode 97	length: 200	reward: 200.0	 ewma reward: 178.38729065618938
Episode 98	length: 200	reward: 200.0	 ewma reward: 179.4679261233799
Episode 99	length: 200	reward: 200.0	 ewma reward: 180.4945298172109
Episode 100	length: 200	reward: 200.0	 ewma reward: 181.46980332635033
Episode 101	length: 200	reward: 200.0	 ewma reward: 182.3963131600328
Episode 102	length: 200	reward: 200.0	 ewma reward: 183.27649750203116
Episode 103	length: 200	reward: 200.0	 ewma reward: 184.1126726269296
Episode 104	length: 200	reward: 200.0	 ewma reward: 184.9070389955831
Episode 105	length: 200	reward: 200.0	 ewma reward: 185.66168704580394
Episode 106	length: 171	reward: 171.0	 ewma reward: 184.92860269351374
Episode 107	length: 140	reward: 140.0	 ewma reward: 182.68217255883803
Episode 108	length: 172	reward: 172.0	 ewma reward: 182.14806393089611
Episode 109	length: 151	reward: 151.0	 ewma reward: 180.5906607343513
Episode 110	length: 153	reward: 153.0	 ewma reward: 179.21112769763374
Episode 111	length: 159	reward: 159.0	 ewma reward: 178.20057131275203
Episode 112	length: 187	reward: 187.0	 ewma reward: 178.6405427471144
Episode 113	length: 200	reward: 200.0	 ewma reward: 179.70851560975868
Episode 114	length: 134	reward: 134.0	 ewma reward: 177.42308982927074
Episode 115	length: 173	reward: 173.0	 ewma reward: 177.20193533780719
Episode 116	length: 200	reward: 200.0	 ewma reward: 178.34183857091682
Episode 117	length: 200	reward: 200.0	 ewma reward: 179.42474664237096
Episode 118	length: 179	reward: 179.0	 ewma reward: 179.4035093102524
Episode 119	length: 200	reward: 200.0	 ewma reward: 180.43333384473976
Episode 120	length: 173	reward: 173.0	 ewma reward: 180.06166715250276
Episode 121	length: 159	reward: 159.0	 ewma reward: 179.0085837948776
Episode 122	length: 200	reward: 200.0	 ewma reward: 180.05815460513372
Episode 123	length: 200	reward: 200.0	 ewma reward: 181.05524687487704
Episode 124	length: 184	reward: 184.0	 ewma reward: 181.20248453113317
Episode 125	length: 182	reward: 182.0	 ewma reward: 181.2423603045765
Episode 126	length: 200	reward: 200.0	 ewma reward: 182.18024228934766
Episode 127	length: 200	reward: 200.0	 ewma reward: 183.07123017488027
Episode 128	length: 158	reward: 158.0	 ewma reward: 181.81766866613626
Episode 129	length: 185	reward: 185.0	 ewma reward: 181.97678523282943
Episode 130	length: 140	reward: 140.0	 ewma reward: 179.87794597118796
Episode 131	length: 148	reward: 148.0	 ewma reward: 178.28404867262856
Episode 132	length: 139	reward: 139.0	 ewma reward: 176.31984623899712
Episode 133	length: 106	reward: 106.0	 ewma reward: 172.80385392704727
Episode 134	length: 133	reward: 133.0	 ewma reward: 170.81366123069492
Episode 135	length: 98	reward: 98.0	 ewma reward: 167.17297816916016
Episode 136	length: 89	reward: 89.0	 ewma reward: 163.26432926070214
Episode 137	length: 107	reward: 107.0	 ewma reward: 160.451112797667
Episode 138	length: 172	reward: 172.0	 ewma reward: 161.02855715778364
Episode 139	length: 121	reward: 121.0	 ewma reward: 159.02712929989445
Episode 140	length: 115	reward: 115.0	 ewma reward: 156.82577283489974
Episode 141	length: 131	reward: 131.0	 ewma reward: 155.53448419315475
Episode 142	length: 127	reward: 127.0	 ewma reward: 154.107759983497
Episode 143	length: 114	reward: 114.0	 ewma reward: 152.10237198432213
Episode 144	length: 103	reward: 103.0	 ewma reward: 149.647253385106
Episode 145	length: 153	reward: 153.0	 ewma reward: 149.8148907158507
Episode 146	length: 118	reward: 118.0	 ewma reward: 148.22414618005817
Episode 147	length: 127	reward: 127.0	 ewma reward: 147.16293887105525
Episode 148	length: 109	reward: 109.0	 ewma reward: 145.25479192750245
Episode 149	length: 95	reward: 95.0	 ewma reward: 142.74205233112733
Episode 150	length: 114	reward: 114.0	 ewma reward: 141.30494971457094
Episode 151	length: 130	reward: 130.0	 ewma reward: 140.7397022288424
Episode 152	length: 179	reward: 179.0	 ewma reward: 142.65271711740024
Episode 153	length: 136	reward: 136.0	 ewma reward: 142.32008126153025
Episode 154	length: 197	reward: 197.0	 ewma reward: 145.0540771984537
Episode 155	length: 176	reward: 176.0	 ewma reward: 146.60137333853103
Episode 156	length: 152	reward: 152.0	 ewma reward: 146.87130467160446
Episode 157	length: 161	reward: 161.0	 ewma reward: 147.57773943802425
Episode 158	length: 176	reward: 176.0	 ewma reward: 148.99885246612305
Episode 159	length: 141	reward: 141.0	 ewma reward: 148.5989098428169
Episode 160	length: 164	reward: 164.0	 ewma reward: 149.36896435067604
Episode 161	length: 188	reward: 188.0	 ewma reward: 151.30051613314222
Episode 162	length: 200	reward: 200.0	 ewma reward: 153.73549032648512
Episode 163	length: 120	reward: 120.0	 ewma reward: 152.04871581016087
Episode 164	length: 185	reward: 185.0	 ewma reward: 153.69628001965282
Episode 165	length: 181	reward: 181.0	 ewma reward: 155.0614660186702
Episode 166	length: 118	reward: 118.0	 ewma reward: 153.20839271773667
Episode 167	length: 200	reward: 200.0	 ewma reward: 155.54797308184982
Episode 168	length: 200	reward: 200.0	 ewma reward: 157.7705744277573
Episode 169	length: 170	reward: 170.0	 ewma reward: 158.38204570636944
Episode 170	length: 161	reward: 161.0	 ewma reward: 158.51294342105098
Episode 171	length: 175	reward: 175.0	 ewma reward: 159.33729624999842
Episode 172	length: 145	reward: 145.0	 ewma reward: 158.6204314374985
Episode 173	length: 113	reward: 113.0	 ewma reward: 156.33940986562357
Episode 174	length: 116	reward: 116.0	 ewma reward: 154.3224393723424
Episode 175	length: 93	reward: 93.0	 ewma reward: 151.25631740372526
Episode 176	length: 124	reward: 124.0	 ewma reward: 149.893501533539
Episode 177	length: 72	reward: 72.0	 ewma reward: 145.99882645686202
Episode 178	length: 84	reward: 84.0	 ewma reward: 142.8988851340189
Episode 179	length: 109	reward: 109.0	 ewma reward: 141.20394087731796
Episode 180	length: 83	reward: 83.0	 ewma reward: 138.29374383345206
Episode 181	length: 102	reward: 102.0	 ewma reward: 136.47905664177944
Episode 182	length: 96	reward: 96.0	 ewma reward: 134.45510380969046
Episode 183	length: 86	reward: 86.0	 ewma reward: 132.03234861920592
Episode 184	length: 78	reward: 78.0	 ewma reward: 129.3307311882456
Episode 185	length: 80	reward: 80.0	 ewma reward: 126.86419462883332
Episode 186	length: 67	reward: 67.0	 ewma reward: 123.87098489739164
Episode 187	length: 83	reward: 83.0	 ewma reward: 121.82743565252206
Episode 188	length: 90	reward: 90.0	 ewma reward: 120.23606386989594
Episode 189	length: 88	reward: 88.0	 ewma reward: 118.62426067640115
Episode 190	length: 114	reward: 114.0	 ewma reward: 118.3930476425811
Episode 191	length: 72	reward: 72.0	 ewma reward: 116.07339526045203
Episode 192	length: 80	reward: 80.0	 ewma reward: 114.26972549742942
Episode 193	length: 83	reward: 83.0	 ewma reward: 112.70623922255795
Episode 194	length: 95	reward: 95.0	 ewma reward: 111.82092726143006
Episode 195	length: 74	reward: 74.0	 ewma reward: 109.92988089835855
Episode 196	length: 86	reward: 86.0	 ewma reward: 108.7333868534406
Episode 197	length: 106	reward: 106.0	 ewma reward: 108.59671751076857
Episode 198	length: 90	reward: 90.0	 ewma reward: 107.66688163523014
Episode 199	length: 83	reward: 83.0	 ewma reward: 106.43353755346864
